datetime,open,high,low,close,volume
19930129,43.96875,43.96875,43.75,43.9375,1003200
19930201,43.96875,44.25,43.96875,44.25,480500
19930202,44.21875,44.375,44.125,44.34375,201300
19930203,44.40625,44.84375,44.375,44.8125,529400
19930204,44.96875,45.09375,44.46875,45,531500
19930205,44.96875,45.0625,44.71875,44.96875,492100
19930208,44.96875,45.125,44.90625,44.96875,596100
19930209,44.8125,44.8125,44.5625,44.65625,122100
19930210,44.65625,44.75,44.53125,44.71875,379600
19930211,44.78125,45.125,44.78125,44.9375,19500
19930212,44.875,44.875,44.59375,44.59375,42500
19930216,44.46875,44.46875,43.40625,43.46875,374800
19930217,43.46875,43.53125,43.28125,43.4375,210900
19930218,43.9375,43.9375,42.8125,43.40625,378100
19930219,43.40625,43.5625,43.34375,43.5625,34900
19930222,43.6875,43.78125,43.5625,43.71875,513600
19930223,43.84375,43.875,43.46875,43.6875,373700
19930224,43.71875,44.25,43.71875,44.25,26300
19930225,44.21875,44.375,44.125,44.34375,44500
19930226,44.4375,44.4375,44.1875,44.40625,66200
19930301,44.5625,44.5625,44.21875,44.28125,66500
19930302,44.3125,44.9375,44.25,44.9375,182400
19930303,45,45.15625,44.9375,45.125,280100
19930304,45.1875,45.1875,44.875,44.875,89500
19930305,44.9375,45.125,44.71875,44.75,40000
19930308,44.84375,45.75,44.84375,45.75,50800
19930309,45.65625,45.6875,45.5,45.59375,169300
19930310,45.59375,45.6875,45.40625,45.6875,194400
19930311,45.71875,45.84375,45.5,45.5625,70900
19930312,45.1875,45.21875,44.8125,45.09375,643600
19930315,45.0625,45.3125,45.0625,45.3125,310800
19930316,45.3125,45.4375,45.3125,45.3125,30800
19930317,45.25,45.25,44.96875,45.03125,21800
19930318,45.21875,45.5,45.21875,45.3125,59300
19930319,45.28125,45.28125,45.03125,45.03125,66900
19930322,44.59375,44.875,44.5625,44.78125,183400
19930323,44.90625,44.9375,44.8125,44.875,55200
19930324,44.8125,45.0625,44.59375,44.875,37200
19930325,44.90625,45.25,44.84375,45.15625,110100
19930326,45.125,45.15625,44.875,44.90625,101500
19930329,44.9375,45.3125,44.9375,45.09375,87100
19930330,45.15625,45.21875,45.09375,45.21875,56000
19930331,45.34375,45.46875,45.1875,45.1875,111600
19930401,45.25,45.25,44.9375,45.03125,129500
